name,1,2,3,total
Best Buy,2,8,14,24
Dick's,2,8,20,30
Home Depot,0,9,18,27
Lowe's,0,11,14,25
Bed Bath & Beyond,1,13,10,24
Petsmart,2,19,3,24
Gamestop,2,8,11,21
Staples,2,12,4,18
Radio Shack,5,11,0,16
Office Depot,0,10,4,14
Aarons,0,8,2,10
